id,"number","description","customer","location",productionPerHour,peopleRequired
2145,"105687V","BROW EYE   HIGHLIGHTER-VANILLA NATURAL PAUPE   ","NMG","495",2800,5
2144,"105805C","EVEN TOUCH --CREAMY BEYGE","NMG","495",1980,6
2143,"105816","EYESHADOW PENCIL SHRINK SLEEVE","JCC","494",1800,3
2142,"105805G","EVEN TOUCH --GOLDEN BEIGE","NMG","495",1980,6
2141,"105815","TWIST N SHINE CANDIED CORAL","JCC","494",2400,4
2140,"105794J","SLUSH:LEMON-12MG","DVL","494",1200,6
2139,"105794I","SLUSH BERRY-6MG","DVL","494",1200,6
2138,"105794U","120ML SLUSH:LEMON LIME-6MG","DVL","494",1200,6
2137,"105813","HOURGLAS EQ SKIN ACTIVE SERUM CELLO WRAP","HGC","494",180,5
2136,"105804N","EASY BROW- NATURAL TAUPE","NMG","495",2800,5
2135,"105812","SAD LIQUID LIP COLOR DOLCE","SSL","494",1200,3
2134,"105794H","SLUSH LEMON-3MG","DVL","494",1200,6
2133,"105810E","EMERALD - SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2132,"105794t","120ml Slush: Lemon Lime-3mg","dvl","494",1200,6
2131,"105794g","Slush:Lemon-1.5mg","dvl","494",1200,6
2130,"105810C","COBALT - SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2129,"105794F","SLUSH:LEMON-0MG","DVL","494",1200,6
2128,"105794X","120ML SLUSH:CHERRY-6MG","DVL","494",1200,6
2127,"105794N","SLUSH CHERRY-6MG","DVL","494",1200,6
2126,"105794O","DVL CHERRYSLUSH-12MG","DVL","494",1200,6
2125,"105804D","EASY BROW-DARK   BROWN","NMG","495",2800,5
2124,"105794M","SLUSH CHERRY-3MG","DVL","494",1200,6
2123,"105794L","SLUSH CHERRY 1.5MG","DVL","494",1200,6
2122,"105794K","SLUSH CHERRY -0MG","DVL","494",1200,6
2121,"105810I","INDIGO-SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2120,"105810B","MIDNIGHT BLUE - SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2119,"105810T","TEAL- SAD LIQUID EYELINER REBAND","SSL","494",1200,5
2118,"105794E","SLUSH BERRY:-12MG","DVL","494",1200,6
2117,"105550","SAD BROW LINER-DARK","SSL","494",1200,4
2116,"105786L","brow fix kit- light","NMG","495",2880,5
2115,"105805F","EVEN TOUCH- FRESCO","NMG","495",1980,6
2114,"105794D","SLUSH BERRY-6MG","DVL","494",1200,6
2113,"105810O","OLIVE-SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2112,"105794R","120MLSLUSH : BERRY 6MG","DVL","494",1200,6
2111,"105810S","SNOW-SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2110,"105810m","MOSS SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2109,"105810P","PERIWINKLE SAD LIQUID EYELINER RERBRAND","SSL","494",1200,5
2108,"105794C","SLUSH: BERRY 3MG","DVL","494",1200,6
2107,"105810","ALLOY SAD LIQUID EYELINER REBRAND","SSL","494",1200,5
2106,"105786M","BROW FIX KIT - MEDIUM","NMG","495",2880,5
2105,"105794A","30ML SLUSH: BERRY-0MG","DVL","494",1200,6
2104,"105806","SAD LIQUID LIP COLOR AMORE","SSL","494",1200,3
2103,"105809","Deep Burgandy- Smudgestick ","SSL","494",1200,4
2102,"105626","BLUEFIN SMUDGESTICK","SSL","494",1200,4
2101,"105808","DEEP BURGANDY-SMUDGESTICK","SSL","494",1200,4
2100,"105757A","FOLDING AND GLUING METCHN","NMG","495",10000,3
